_id,raw_substance
2004-000333-10-GB,levobupivacaine 0.25
2004-000333-10-GB,levobupivacaine 0.75
2004-000333-10-GB,ropivacaine 0.2
2004-000333-10-GB,ropivacaine 0.75
2004-000335-28-AT,Follitropin alfa
2004-000336-81-IT,fosamprenavir
2004-000337-12-HU,Interferon beta-1a
2004-000345-38-CZ,Alitretinoin
2004-000346-21-ES,Tedisamil
2004-000347-14-BE,Tesaglitazar
2004-000347-14-BE,Glibenclamide
2004-000348-25-IT,TESAGLITAZAR
2004-000349-40-IT,Exenatide
2004-000349-40-IT,Insulin glargine
2004-000350-24-GB,Tesaglitazar
2004-000350-24-GB,Metformin
2004-000352-16-CZ,clopidogrel hydrogen sulphate
2004-000353-38-CZ,Girentuximab INN
2004-000354-22-AT,atorvastatin calcium
2004-000354-22-AT,amlodipine besilate
2004-000356-17-AT,Somatropin
2004-000358-21-BE,gefitinib
2004-000361-35-CZ,MARS
2004-000362-12-CZ,To be confirmed
2004-000363-10-ES,Sirolimus
2004-000363-10-ES,Daclizumab
2004-000363-10-ES,Tacrolimus
2004-000363-10-ES,mycophenolate mofetil
2004-000365-35-ES,voriconazol
2004-000368-28-AT,SB497115
2004-000369-37-DK,N
2004-000369-37-DK,A
2004-000369-37-DK,ondansetron
2004-000370-31-BE,N
2004-000370-31-BE,A
2004-000370-31-BE,ondansetron
2004-000371-34-AT,N
2004-000371-34-AT,A
2004-000371-34-AT,ondansetron
2004-000371-34-AT,dexamethasone
2004-000371-34-AT,aprepitant
2004-000376-14-IT,metformin
2004-000379-32-ES,VANDETANIB
2004-000379-32-ES,ZD6474-PLACEBO TABLETS
2004-000383-27-SE,Robalzotan
2004-000384-10-FR,Anastrozole
2004-000384-10-FR,Biclutamide
2004-000390-59-GB,lamivudine
2004-000390-59-GB,zidovudine
2004-000394-60-DK,ACR16
2004-000397-31-DE,Pneumococcal polysaccharide serotype 4
2004-000397-31-DE,Pneumococcal polysaccharide serotype 6B
2004-000397-31-DE,Pneumococcal polysaccharide serotype 9V
2004-000397-31-DE,Pneumococcal polysaccharide serotype 14
2004-000397-31-DE,Pneumococcal polysaccharide serotype 18C
2004-000397-31-DE,Pneumococcal polysaccharide serotype 19F
2004-000397-31-DE,Pneumococcal polysaccharide serotype 23F
2004-000397-31-DE,Diphtheria toxoid
2004-000397-31-DE,Tetanus toxoid
2004-000397-31-DE,Pertussis toxoid
2004-000397-31-DE,Filamentous haemagglutinin
2004-000397-31-DE,Pertactin
2004-000397-31-DE,Hepatitis B virus surface antigen recombinant S protein
2004-000397-31-DE,Inactivated poliovirus type 1
2004-000397-31-DE,Inactivated poliovirus type 2
2004-000397-31-DE,Inactivated poliovirus type 3
2004-000397-31-DE,Haemophilus influenzae type b polysaccharide conjugated to TT
2004-000397-31-DE,Tetanus toxoid conjugated to Hib
2004-000397-31-DE,Paracetamol
2004-000398-76-ES,Acido acetilsaliclico
2004-000404-40-ES,BAY 12-8039 Tablets
2004-000405-22-GB,Carboplatin
2004-000405-22-GB,Vincristine
2004-000405-22-GB,Bleomycin SUlphate
2004-000405-22-GB,Etoposide
2004-000405-22-GB,Cisplatin
2004-000406-51-AT,GR270773 Emulsion
2004-000408-41-GB,Ribavirin
2004-000408-41-GB,peginterferon alfa-2a
2004-000411-25-IT,Cetuximab
2004-000414-39-FI,Buprenorphine
2004-000415-26-CZ,Rostafuroxin
2004-000417-18-GB,Peg interferon alfa-2a
2004-000422-73-IT,ASSOCIAZIONI VARIE
2004-000424-32-BE,Caspofungin for Injection
2004-000432-85-CZ,Alitretinoin
2004-000438-35-DK,Teduglutide
2004-000439-27-DK,Teduglutide 5mg
2004-000439-27-DK,0.5ml
2004-000439-27-DK,Teduglutide 10mg
2004-000440-24-SE,--
2004-000440-24-SE,Chlorambucil
2004-000442-21-HU,furosemide
2004-000443-17-ES,telbivudine
2004-000443-17-ES,Lamivudine
2004-000446-20-ES,Zidovudine and Lamivudine
2004-000446-20-ES,Lopinavir and Ritonavir
2004-000448-26-GB,itopride hydrochloride  of the free base
2004-000450-23-LT,DESVENLAFAXINE SUCCINATE
2004-000452-16-CZ,Tolvaptan
2004-000457-34-AT,Tacrolimus
2004-000457-34-AT,Mycophenolate mofetil
2004-000457-34-AT,Sirolimus
2004-000462-13-HU,Glatiramer Acetate
2004-000463-94-HU,Glatiramer Acetate
2004-000464-28-BE,Ganciclovir
2004-000469-36-FI,esmirtazapine
2004-000472-14-CZ,esmirtazapine
2004-000476-13-ES,fesoterodine
2004-000478-30-BE,bosentan monohydrate
2004-000480-10-EE,etoposide
2004-000480-10-EE,ifosfamide
2004-000482-35-GB,Rosiglitazone
2004-000483-27-DK,Not applicable
2004-000485-13-BE,risedronic acid
2004-000486-35-GB,risedronate 75mg
2004-000486-35-GB,Actonel 5mg film-coated tablets
2004-000487-27-HU,Etoricoxib
2004-000487-27-HU,diclofenac sodium
2004-000487-27-HU,Acetaminophen
2004-000488-83-AT,Pegintron
2004-000488-83-AT,Rebetol 200mg
2004-000492-33-HU,Pantoprazole
2004-000493-32-AT,Pantoprazole
2004-000495-14-IT,Gefitinib
2004-000499-16-FI,Clostridium difficile-immune whey
2004-000499-16-FI,metronidatsoli
2004-000501-21-GB,HepeX-B
2004-000501-21-GB,Hepatect CP
2004-000502-40-GB,Methylphenidate Hydrochloride
2004-000506-52-BE,olmesartan medoxomil
2004-000507-17-IT,Rivastigmine
2004-000509-24-AT,Zoledronic acid
2004-000509-24-AT,disodium pamidronate
2004-000511-25-BE,Zoledronic acid
2004-000512-17-CZ,Denosumab
2004-000514-38-IE,Insulin detemir
2004-000514-38-IE,Biphasic insulin aspart 30
2004-000514-38-IE,Insulin aspart
2004-000518-37-ES,Prophylactic bivalent HPV
2004-000518-37-ES,AS04 Vaccine candidate
2004-000518-37-ES,Havrix 360 pediatric
2004-000520-32-ES,Tacrolimus
2004-000520-32-ES,Mycophenolate mofetil
2004-000520-32-ES,Basiliximab
2004-000526-75-ES,micofenolato mofetilo
2004-000530-37-EE,onercept
2004-000532-85-GB,Fuzeon
2004-000534-36-CZ,chondroitin sulfate
2004-000535-29-BE,onercept
2004-000537-11-DE,Human Immunoglobulin
2004-000539-27-ES,vildagliptin
2004-000540-24-DE,gliclazide
2004-000541-38-IT,Everolimus
2004-000542-20-CZ,vildagliptin
2004-000542-20-CZ,gliclazide
2004-000551-42-AT,Lacosamide
2004-000555-42-AT,Teriflunomide
2004-000557-35-GB,Ralfinamide
2004-000558-22-ES,peginterferon alfa-2b
2004-000558-22-ES,ribavirin
2004-000562-13-LT,DESVENLAFAXINE SUCCINATE
2004-000562-13-LT,VENLAFAXINE
2004-000563-96-AT,etanercept
2004-000563-96-AT,methotrexate
2004-000564-28-BE,erlotinib
2004-000565-34-IT,Melphalan
2004-000565-34-IT,Prednisone
2004-000565-34-IT,Bortezomib
2004-000565-34-IT,Thalidomide
2004-000566-12-SE,disufenton sodium
2004-000572-14-BE,Not applicable
2004-000573-54-FI,Exenatide
2004-000576-13-GB,montelukast
2004-000577-65-FI,Exenatide
2004-000580-10-FI,tadalafil
2004-000585-13-BE,Not assigned
2004-000585-13-BE,Not available
2004-000587-26-DE,not established
2004-000587-26-DE,Mycophenolate Mofetil
2004-000587-26-DE,Ciclosporin
2004-000589-11-HU,Olanzapine
2004-000589-11-HU,Carbamazepine
2004-000593-32-DE,Desmopressin approved INN
2004-000596-34-CZ,CellCept
2004-000597-31-GB,deferasirox
2004-000602-44-ES,Vinorelbine tartrate
2004-000602-44-ES,Capecitabina
2004-000603-18-IT,Ubidecarenone
2004-000607-17-BE,--
2004-000608-42-ES,Zoledronic Acid
2004-000609-23-IT,UROLOGICALS
2004-000610-39-GB,Odiparcil
2004-000610-39-GB,warfarin
2004-000611-25-HU,Mesalamine
2004-000612-54-SE,6-nitrooxyhexyl2Z-4-acetyloxy-3-4-methylsulfonylphenyl-2-phenylbut-2-enoate
2004-000612-54-SE,Acetylsalicylic acid
2004-000612-54-SE,Celecoxib
2004-000614-39-DK,Montelukast Sodium
2004-000616-70-BE,Insulin glulisine
2004-000616-70-BE,Insulin glargine
2004-000616-70-BE,insulin lispro
2004-000616-70-BE,Insulin Human Injection Isophane Biosynthetic
2004-000617-19-AT,docetaxel
2004-000617-19-AT,doxorubicin hydrochloride
2004-000618-38-GB,Capecitabine
2004-000622-67-GB,Not Available
2004-000625-30-ES,Nitric Oxide
2004-000625-30-ES,Oxygen
2004-000629-32-AT,Bevacizumab
2004-000629-32-AT,Capecitabine
2004-000631-28-IT,Bosentan
2004-000632-82-GB,bosentan monohydrate
2004-000638-35-ES,zoledronic acid
2004-000642-21-IE,recombinant human N-acetylgalactosamine 4-sulfatase
2004-000644-25-IT,Mecasermin
2004-000646-20-GB,eculizumab
2004-000647-24-DK,Doxorubicin
2004-000649-39-AT,Cetuximab
2004-000654-23-BE,Temozolomide
2004-000654-23-BE,Dacarbazine
2004-000655-41-ES,Not applicable
2004-000658-22-GB,Pulmozyme
2004-000658-22-GB,Actilyse
2004-000663-99-CZ,dimethyl fumarate
2004-000664-27-ES,FTY720
2004-000665-35-ES,Vinorelbine tartrate
2004-000665-35-ES,Capecitabine
2004-000669-36-IT,VARI
2004-000669-36-IT,Prednisone
2004-000669-36-IT,Melphalan
2004-000671-34-GB,valsartan
2004-000671-34-GB,amlodipine
2004-000673-57-AT,epoetin omega
2004-000673-57-AT,epoetin beta
2004-000675-34-ES,EPTOTERMIN ALFA
2004-000676-13-SK,epoetin omega
2004-000677-62-HU,valsartan
2004-000677-62-HU,amlodipine
2004-000678-30-CZ,epoetin beta
2004-000678-30-CZ,epoetin omega
2004-000679-32-FI,Budesonide
2004-000679-32-FI,Formoterol fumarate dihydrate
2004-000683-27-GB,Xyzal 5mg Tablets
2004-000684-10-AT,ME3301
2004-000686-35-FI,licarbazepine
2004-000687-27-AT,Licarbazepine
2004-000691-13-ES,pemetrexed
2004-000691-13-ES,Doxorubicina
2004-000691-13-ES,Acido Folico
2004-000691-13-ES,Cianocobalamina
2004-000691-13-ES,Dexametasona
2004-000693-31-FI,"acetyl salicylic acid,calcium carbonate"
2004-000696-34-HU,No INN or proposed INN available
2004-000700-41-BE,Methyl aminolevulinate hydrochloride
2004-000701-21-AT,Everolimus
2004-000701-21-AT,letrozole
2004-000703-18-ES,Eprosartan mesylate
2004-000703-18-ES,Ramipril
2004-000703-18-ES,Moxonidine
2004-000703-18-ES,Hydrochlorothiazide
2004-000707-18-IT,Bifeprunox mesylate
2004-000711-26-AT,Iomeron
2004-000711-26-AT,Visipaque
2004-000712-42-AT,Iomeron
2004-000712-42-AT,Visipaque
2004-000715-26-CZ,Bevacizumab
2004-000715-26-CZ,Capecitabine
2004-000715-26-CZ,Oxaliplatin
2004-000718-37-CZ,Beclomethasone Dipropionate
2004-000718-37-CZ,Formoterol Fumarate
2004-000722-69-ES,GEMCITABINE
2004-000722-69-ES,CARBOPLATIN
2004-000722-69-ES,PACLITAXEL
2004-000723-15-AT,removab
2004-000725-30-GB,Sorafenib
2004-000725-30-GB,Dacarbazine
2004-000726-78-ES,Eflornitina hidrocloruro
2004-000727-15-HU,fulvestrant
2004-000727-15-HU,exemestane
2004-000730-37-CZ,methylphenidate hydrochloride
2004-000731-28-AT,Cisplatin
2004-000731-28-AT,Eposin
2004-000731-28-AT,Bleo-Kyowa
2004-000733-12-CZ,Mesalazinum
2004-000734-36-CZ,Mesalazinum
2004-000738-34-DE,telithromycin
2004-000738-34-DE,cefuroxime
2004-000742-21-IT,Other diagnostic radiopharmaceuticals for tumour detection
2004-000745-37-ES,bosentan monohydrate
2004-000746-20-DE,Nebivolol
2004-000748-26-ES,Vinorelbine tartrate
2004-000748-26-ES,Capecitabine
2004-000748-26-ES,Trastuzumab
2004-000750-22-DE,Quetiapine fumarate
2004-000751-42-DE,Quetiapine fumarate
2004-000752-17-AT,trastuzumab
2004-000752-17-AT,docetaxel
2004-000752-17-AT,Paclitaxel
2004-000753-30-ES,Vinorelbine tartrate
2004-000753-30-ES,Capecitabine
2004-000754-24-GB,Abacavir sulfate
2004-000754-24-GB,Lamivudine
2004-000754-24-GB,Zidovudine
2004-000755-41-CZ,Formoterol Fumarate
2004-000755-41-CZ,Formoterol fumarate
2004-000759-40-IT,Glatiramer acetate
2004-000762-13-IT,Glatiramer acetate
2004-000766-12-AT,-
2004-000767-10-IT,Combined MenC-Hib conjugate vaccine
2004-000767-10-IT,NA
2004-000771-34-ES,Rupatadine
2004-000772-14-CZ,agalsidase alfa
2004-000773-60-LV,Glycyrrhizin
2004-000774-31-DE,Indisulam
2004-000774-31-DE,Capecitabine
2004-000775-34-CZ,atorvastatin
2004-000782-35-IT,Mycophenolic acid
2004-000784-97-AT,Retapamulin
2004-000784-97-AT,Cephalexin
2004-000786-35-IT,Lopinavir
2004-000786-35-IT,Tenofovir disoproxil
2004-000789-11-AT,"GW842470X DISKUS, 1 mg"
2004-000795-14-LT,meropenem
2004-000798-71-GB,Levetiracetam
2004-000799-15-NO,Milgamma mono 150
2004-000803-17-LT,Methylprednisolone acetas
2004-000804-41-HU,Paclitaxel
2004-000804-41-HU,Cisplatin
2004-000804-41-HU,Neulasta
2004-000805-23-IT,Levofloxacin
2004-000806-39-HU,Epirubicin
2004-000806-39-HU,5-Fluorouracil
2004-000806-39-HU,Cyclophosphamide
2004-000806-39-HU,Neulasta
2004-000808-40-LT,Goserelin
2004-000811-24-CZ,estradiol
2004-000815-25-AT,pemetrexed
2004-000816-24-ES,lopinavir
2004-000816-24-ES,ritonavir
2004-000816-24-ES,lamivudine
2004-000816-24-ES,zidovudine
2004-000817-20-AT,Istradefylline
2004-000817-20-AT,Entacapone
2004-000820-34-PT,Peg Interferon alfa-2b
2004-000820-34-PT,Ribavirin
2004-000821-31-AT,ethinylestradiol
2004-000821-31-AT,gestodene
2004-000821-31-AT,Norelgestromin
2004-000822-58-ES,CLOPIDOGREL
2004-000825-31-HU,Ciclesonide
2004-000825-31-HU,Fluticasone
2004-000827-13-BE,Linezolid
2004-000827-13-BE,Vancomycin
2004-000827-13-BE,Cefepime Hydrochloride
2004-000829-30-IT,valsartan
2004-000829-30-IT,fluvastatin
2004-000830-35-IT,Risperidone
2004-000833-12-ES,Safinamide
2004-000835-27-ES,Safinamide
2004-000838-36-HU,HER-2 Protein AutoVacTM
2004-000843-61-IT,Ketoprofen
2004-000843-61-IT,Diclofenac
2004-000848-24-DE,Talnetant
2004-000849-38-GB,Everolimus
2004-000849-38-GB,letrozole
2004-000850-22-IT,paracetamol+caffeine
2004-000850-22-IT,Naproxen
2004-000860-28-AT,Bendamustin
2004-000860-28-AT,Chlorambucil
2004-000864-29-CZ,Bevacizumab
2004-000866-11-IT,Pholcodine
2004-000866-11-IT,Dextromethorphan
2004-000867-92-DE,Pioglitazone
2004-000870-29-AT,risperidone
2004-000870-29-AT,quetiapine
2004-000871-33-CZ,Propiverine hydrochloride extended release ER
2004-000874-30-IT,Hydroxycarbamide
2004-000876-14-ES,Prolonged Release Torasemide
2004-000876-14-ES,Prologed Release Torasemide
2004-000876-14-ES,Inmediate Release Torasemide
2004-000877-80-CZ,Dexamethasone- 21-isonicotinate
2004-000877-80-CZ,Oxytetracycline-HCl
2004-000877-80-CZ,Dexamethasone
2004-000877-80-CZ,Gentamicinsulfate
2004-000881-10-LT,"Glivec Gleevec, imatinib mesylate, STI571"
2004-000882-36-DK,GW501516X
2004-000894-67-ES,teriparatida
2004-000895-16-DK,Aliskiren
2004-000895-16-DK,Losartan
2004-000903-17-BE,Aripiprazole
2004-000904-41-CZ,otamixaban
2004-000904-41-CZ,heparin
2004-000905-24-GB,Salicylic acid
2004-000912-13-EE,Quetiapine Fumarate SR
2004-000912-13-EE,Quetiapine Fumarate
2004-000913-21-EE,Quetiapine Fumarate SR
2004-000914-37-GB,CIRCADIN
2004-000915-25-LT,Quetiapine Fumarate
2004-000915-25-LT,Lithium Carbonate
2004-000916-25-IT,Mesalazine
2004-000919-26-FI,CathFlo Activase Alteplase
2004-000922-59-CZ,Abatacept
2004-000922-59-CZ,Infliximab
2004-000929-30-IT,Mepolizumab
2004-000930-35-BE,Mepolizumab
2004-000933-12-ES,Phenserine Tartrate
2004-000935-27-CZ,sirolimus
2004-000940-26-AT,pimecrolimus
2004-000944-26-BE,dexamethasone
2004-000944-26-BE,DOXORUBICINI HYDROCHLORIDUM
2004-000944-26-BE,VINCRISTINI SULFAS
2004-000944-26-BE,filgrastimum
2004-000944-26-BE,thalidomide
2004-000944-26-BE,melphalanum
2004-000948-25-ES,lamivudina
2004-000948-25-ES,abacavir
2004-000948-25-ES,tenofovir disoxipropil fumarato
2004-000948-25-ES,Lopinavir
2004-000948-25-ES,ritonavir
2004-000948-25-ES,nevirapina
2004-000953-46-LT,GADODIAMIDE
2004-000954-22-LV,Pregabalin
2004-000955-40-LV,gamma-aminobutyric acid analogue S-3 aminomethyl-5-methylhaxanoic acid
2004-000957-47-SI,bisoprolol
2004-000957-47-SI,carvedilol
2004-000959-42-FI,ezetimibe
2004-000959-42-FI,Rosuvastatiini
2004-000959-42-FI,atorvastatiini
2004-000960-28-DE,SPM 927
2004-000962-11-CZ,Vinorelbine tartrate
2004-000962-11-CZ,Anastrozole
2004-000962-11-CZ,Navelbine soft capsules
2004-000963-81-BE,Vinorelbine tartrate
2004-000966-10-IT,Losartan
2004-000966-10-IT,Irbesartan
2004-000966-10-IT,Telmisartan
2004-000966-10-IT,Valsartan
2004-000966-10-IT,Chlortalidone
2004-000971-33-CZ,Docetaxel
2004-000972-15-DK,Isotretinoin
2004-000973-69-AT,Sirolimus
2004-000975-32-CZ,Brivaracetam
2004-000980-93-IT,VARI
2004-000983-29-IT,eritropoietina
2004-000984-81-DK,RSD1235
2004-000985-12-ES,Rosiglitazone extended release tablets
2004-000986-37-BE,Not available
2004-000990-78-AT,Escitalopram
2004-000994-69-BE,Gadodiamide
2004-000996-33-DK,Tolterodine hydrochloride
2004-001000-12-SK,"Capsaicin, Ultra-purified"
2004-001010-13-DK,escitalopram
2004-001012-32-AT,not yet given
2004-001020-20-AT,N
2004-001020-20-AT,A
2004-001020-20-AT,ondansetron
2004-001020-20-AT,dexamethasone
2004-001021-22-CZ,vestipitant
2004-001021-22-CZ,ondansetron
2004-001033-41-IT,Tadalafil
2004-001035-32-IT,Thiotepa
2004-001035-32-IT,Cyclophosphamide
2004-001035-32-IT,Fludarabine
2004-001036-23-IT,Pimecrolimus
2004-001041-15-LV,Ocaperidone
2004-001041-15-LV,Olanzapine
2004-001043-30-IT,gimatecan
2004-001044-72-IT,Docetaxel
2004-001044-72-IT,Cisplatin
2004-001044-72-IT,Gemcitabine
2004-001052-36-DE,Mycophenolatmofetil
2004-001052-36-DE,everolimus
2004-001052-36-DE,Ciclosporin
2004-001054-84-GB,KLUCEL - PHARM Type HF
2004-001054-84-GB,cholestyramine
2004-001056-36-ES,Ziprasidona
2004-001060-50-ES,Aliskiren
2004-001060-50-ES,lisinopril
2004-001060-50-ES,hydrochlorotiazide
2004-001061-17-BE,Aliskiren
2004-001061-17-BE,Ramipril
2004-001061-17-BE,Hydrochlorothiazide
2004-001062-40-DE,Aliskiren
2004-001062-40-DE,Ramipril
2004-001065-18-ES,Roflumilast
2004-001069-17-LT,Propyphenazone
2004-001069-17-LT,Codeine phospat
2004-001072-39-AT,Ciclesonide
2004-001072-39-AT,Fluticasone Propionat
2004-001075-20-LT,Tacrolimus 0.0125 aerosol
2004-001075-20-LT,Tacrolimus 0.025 aerosol
2004-001075-20-LT,Tacrolimus 0.05 aerosol
2004-001075-20-LT,Tacrolimus 0.1 aerosol
2004-001083-43-GB,proposed INN: rivaroxaban
2004-001083-43-GB,Enoxaparin-Na
2004-001083-43-GB,Warfarin
2004-001086-17-GB,2w
2004-001086-17-GB,v Chlorhexidine Gluconate in 70 v
2004-001086-17-GB,v Isopropyl Alcohol
2004-001090-25-AT,RANOLAZINE
2004-001091-40-FI,Lanreotide acetate
2004-001091-40-FI,Octreotide acetate
2004-001093-11-ES,SU011248 L-Malate Salt
2004-001098-25-ES,Acetylcysteine
2004-001100-12-CZ,Not yet assigned
2004-001100-12-CZ,Donepezili hydrochloridum
2004-001101-10-BE,Zoledronic acid
2004-001103-35-DK,Exemestan
2004-001105-96-AT,Cetuximab
2004-001107-36-BE,Symbicort Turbohaler 160
2004-001107-36-BE,"4,5 microgr."
2004-001107-36-BE,dose
2004-001108-11-DE,soblidotin
2004-001109-81-CZ,Clipper
2004-001113-33-BE,Infliximab
2004-001113-33-BE,Geadsorbeerd recombinant oppervlakteantigen van Hepatitis B Protene S
2004-001113-33-BE,"Gezuiverde kapselpolysacchariden van streptococcus pneumoniae: 1,2,3,4,5,6B,7F,8,9N,9V,10A,11A,12F,14,15B,17F,18C,19A,19F,20,22F,23F,33F"
2004-001113-33-BE,Etanercept
2004-001114-14-IT,Levocarnitine
2004-001116-31-ES,Citrato de Cizolirtina
2004-001116-31-ES,Tolterodine tartrate
2004-001117-34-ES,In process
2004-001118-15-ES,Cyoctodepsin
2004-001119-69-CZ,cizolirtine citrate
2004-001125-20-IT,Etoposide
2004-001126-24-BE,Gemcitabine hydrochloride
2004-001126-24-BE,Oxaliplatine
2004-001128-19-DK,Enoxaparin Sodium
2004-001128-19-DK,warfarin sodium
2004-001130-16-ES,rupatadina fumarato
2004-001132-23-IT,Lumiracoxib
2004-001132-23-IT,Celecoxib
2004-001144-71-ES,TESAGLITAZAR
