cache_key,entity_id,canonical,model_id,prompt_version,english_name,confidence,decided_at_utc,batch_id
1def88dad1bf411d700ff522948c2dd8ccc1aea9391832a52839df0a767d139c,ent_003528,AB Science,claude-sonnet-5,sponsor-translate-v1,AB Science,0.98,2026-08-14T17:44:09Z,msgbatch_01PUDrWoBDM9kDwjg1BcWpAf
477b1ed261f0dd0af6b8d8a4bd56d39cf0034892d02d2f21dc7241a6d1490f58,ent_000013,ACADIA Pharmaceuticals,claude-sonnet-5,sponsor-translate-v1,ACADIA Pharmaceuticals,0.98,2026-08-14T17:44:09Z,msgbatch_01PUDrWoBDM9kDwjg1BcWpAf
dcc8fd4be332782e3abb0458cf43fbc5f2553add8a1f8704afec4936f813125c,ent_000028,AIO-Studien,claude-sonnet-5,sponsor-translate-v1,AIO-Studien,0.55,2026-08-14T17:44:09Z,msgbatch_01PUDrWoBDM9kDwjg1BcWpAf
e0a04cf09881b5492d186f94f42974cfb6583127f37ccd6088c3c62f297ec386,ent_000031,ALK-Abello,claude-sonnet-5,sponsor-translate-v1,ALK-Abello,0.9,2026-08-14T17:44:09Z,msgbatch_01PUDrWoBDM9kDwjg1BcWpAf
f90b1ce3f1e9734713af4860583f5df4c182a9162f172f4021854ad54e676212,ent_000033,ALTANA,claude-sonnet-5,sponsor-translate-v1,ALTANA,0.9,2026-08-14T17:44:09Z,msgbatch_01PUDrWoBDM9kDwjg1BcWpAf
a29e15eee500ec757bf1b9e5c1f83a2206bb92a6bbec669966715ab780aefdc7,ent_000040,ANRS Maladies Infectieuses Émergentes,claude-sonnet-5,sponsor-translate-v1,ANRS Maladies Infectieuses Émergentes,0.6,2026-08-14T17:44:09Z,msgbatch_01PUDrWoBDM9kDwjg1BcWpAf
ffd0b80ee2140f9a3c0c27013bc736107f8cddc4b1e03cf3a582fcddf073480d,ent_000045,ARCAGY-GINECO,claude-sonnet-5,sponsor-translate-v1,ARCAGY-GINECO,0.9,2026-08-14T17:44:09Z,msgbatch_01PUDrWoBDM9kDwjg1BcWpAf
3c36aff8b9c2d9f4f65816791821176cbbc3da2cbae94f5c6bdbd6f565f043d2,ent_000054,ASST degli Spedali Civili di Brescia,claude-sonnet-5,sponsor-translate-v1,ASST degli Spedali Civili di Brescia,0.6,2026-08-14T17:44:09Z,msgbatch_01PUDrWoBDM9kDwjg1BcWpAf
5901e8691dcead0c0769c904dd8839ea86791fa229ce414337ea6dbe067a7e81,ent_000068,Aalborg Universitetshospital,claude-sonnet-5,sponsor-translate-v1,Aalborg University Hospital,0.9,2026-08-14T17:44:09Z,msgbatch_01PUDrWoBDM9kDwjg1BcWpAf
6ff41cdde298e2b3fad7563ea18279392f2fb4da26b6cdef907d4ca41f97ebdf,ent_000070,Aarhus Universitet,claude-sonnet-5,sponsor-translate-v1,Aarhus University,0.98,2026-08-14T17:44:09Z,msgbatch_01PUDrWoBDM9kDwjg1BcWpAf
8f1031f1c3e7071db280c79a18ddf2ba6576f054b8c88516c2ed4f2b3731a034,ent_000071,Aarhus Universitetshospital,claude-sonnet-5,sponsor-translate-v1,Aarhus University Hospital,0.9,2026-08-14T17:14:41Z,NA
2de9c4acca25676de90d2f944e454d3041e3802627446fef90057ca5b988d07c,ent_000074,AbbVie,claude-sonnet-5,sponsor-translate-v1,AbbVie,0.99,2026-08-14T08:00:17Z,NA
39330c69f1c4604d21415a922bd26577b280944cd821d28f3d425e0b50af2276,ent_000075,Abbott,claude-sonnet-5,sponsor-translate-v1,Abbott,0.99,2026-08-14T17:44:09Z,msgbatch_01PUDrWoBDM9kDwjg1BcWpAf
ef2dacc4cfe25985e3c2a9161145de7106e0d430df737071e7ad6922b2c3b169,ent_000086,Academic Medical Center,claude-sonnet-5,sponsor-translate-v1,Academic Medical Center,0.9,2026-08-14T17:44:09Z,msgbatch_01PUDrWoBDM9kDwjg1BcWpAf
8e34edaafdb4db08378d1fbbf8c8b4deb0e1fc14292cacb589fa573b9b23c2fa,ent_000099,Actelion,claude-sonnet-5,sponsor-translate-v1,Actelion,0.95,2026-08-14T17:44:09Z,msgbatch_01PUDrWoBDM9kDwjg1BcWpAf
0f7c9c4b8ba72a36482f3a9de235b6d0d091989bf936c41d4dcaec96151ed4f6,ent_000136,Akershus Universitetssykehus,claude-sonnet-5,sponsor-translate-v1,Akershus University Hospital,0.9,2026-08-14T17:44:09Z,msgbatch_01PUDrWoBDM9kDwjg1BcWpAf
4e0566c5f5213ad5f593bdf07b8963babb06d595b13ebb9b2240138dedc5e113,ent_000145,Alcon,claude-sonnet-5,sponsor-translate-v1,Alcon,0.98,2026-08-14T17:44:09Z,msgbatch_01PUDrWoBDM9kDwjg1BcWpAf
a11c9d0dfac200123414500ada5ad7dfdb79e48b11c38e31f622b9925427b3f0,ent_000149,Alexion,claude-sonnet-5,sponsor-translate-v1,Alexion,0.9,2026-08-14T17:44:09Z,msgbatch_01PUDrWoBDM9kDwjg1BcWpAf
aa41e9ec43e09304880af6dd9889cc4f673662f5f8ca5ad5409b55334a3707f0,ent_000162,Alkermes,claude-sonnet-5,sponsor-translate-v1,Alkermes,0.99,2026-08-14T17:44:09Z,msgbatch_01PUDrWoBDM9kDwjg1BcWpAf
22b9389cfc587d7b5e8ef3dc3e530d319cb47b4e6bed2be11ebd421f33e15e41,ent_000163,All-Ireland Cooperative Oncology Research Group,claude-sonnet-5,sponsor-translate-v1,All-Ireland Cooperative Oncology Research Group,0.95,2026-08-14T17:44:09Z,msgbatch_01PUDrWoBDM9kDwjg1BcWpAf
a7fd5ec5e1a6c510cea36a2129212969a22e010a014e3925402bbfcd420a52cd,ent_000166,Allergan,claude-sonnet-5,sponsor-translate-v1,Allergan,0.99,2026-08-14T17:44:09Z,msgbatch_01PUDrWoBDM9kDwjg1BcWpAf
5407dbc7275d43ce5a6dc7b92847e33f1cf1b89995a2c215b0700f5003707042,ent_000167,Allergopharma,claude-sonnet-5,sponsor-translate-v1,Allergopharma,0.9,2026-08-14T17:44:09Z,msgbatch_01PUDrWoBDM9kDwjg1BcWpAf
623a6f8229bfbe8f09676653d44fd37f7bc5fe5a718c52f7d6e5b77a3ff23176,ent_000178,Almirall,claude-sonnet-5,sponsor-translate-v1,Almirall,0.98,2026-08-14T17:44:09Z,msgbatch_01PUDrWoBDM9kDwjg1BcWpAf
