cache_key,block_id,model_id,prompt_version,cluster_no,canonical,parent,entity_type,raw_sponsor,confidence,reason,decided_at_utc,batch_id
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,1,Novartis Pharma,NA,industry,Novartis Pharma AG,0.8,Novartis Pharma AG Switzerland,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,1,Novartis Pharma,NA,industry,Novartis Pharma,0.8,Novartis Pharma AG Switzerland,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,2,Novartis Pharma Services,Novartis,industry,Novartis Pharma Services AG,0.85,NA,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,2,Novartis Pharma Services,Novartis,industry,Novartis Pharma Service AG,0.85,NA,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,2,Novartis Pharma Services,Novartis,industry,Novartis Pharma Services,0.85,NA,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,2,Novartis Pharma Services,Novartis,industry,Novartis Services AG,0.85,NA,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,2,Novartis Pharma Services,Novartis,industry,Novartis Pharma services AG,0.85,NA,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,2,Novartis Pharma Services,Novartis,industry,Novartis  Pharma Services AG,0.85,NA,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,3,Novartis Pharma GmbH,Novartis,industry,Novartis Pharma GmbH,0.85,German affiliate,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,4,Novartis Vaccines and Diagnostics S.r.l.,Novartis,industry,Novartis Vaccines and Diagnostics S.r.l.,0.9,NA,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,4,Novartis Vaccines and Diagnostics S.r.l.,Novartis,industry,NOVARTIS VACCINES AND DIAGNOSTICS S.R.L.,0.9,NA,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,4,Novartis Vaccines and Diagnostics S.r.l.,Novartis,industry,Novartis Vaccines and Diagnostics S.r.l,0.9,NA,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,4,Novartis Vaccines and Diagnostics S.r.l.,Novartis,industry,Novartis Vaccines and Diagnostics Srl.,0.9,NA,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,5,Novartis Vaccines and Diagnostics GmbH,Novartis,industry,Novartis Vaccines and Diagnostics GmbH  Co. KG,0.85,NA,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,5,Novartis Vaccines and Diagnostics GmbH,Novartis,industry,Novartis Vaccines and Diagnostics GmbH,0.85,NA,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,6,Novartis Farma S.p.A.,Novartis,industry,NOVARTIS FARMA,0.92,NA,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,6,Novartis Farma S.p.A.,Novartis,industry,NOVARTIS FARMA S.P.A.,0.92,NA,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,6,Novartis Farma S.p.A.,Novartis,industry,Novartis Farma S.p.A.,0.92,NA,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,6,Novartis Farma S.p.A.,Novartis,industry,NOVARTIS FARMA S.p.A,0.92,NA,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,6,Novartis Farma S.p.A.,Novartis,industry,NOVARTIS FARMA S.p.A.,0.92,NA,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,7,Novartis Farmacéutica,Novartis,industry,"Novartis Farmacutica, S.A.",0.92,NA,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,7,Novartis Farmacéutica,Novartis,industry,Novartis Farmacutica S.A.,0.92,NA,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,7,Novartis Farmacéutica,Novartis,industry,Novartis Farmaceutica S.A.,0.92,NA,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,7,Novartis Farmacéutica,Novartis,industry,Novartis Farmacutica S.A,0.92,NA,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,7,Novartis Farmacéutica,Novartis,industry,Novartis Farmacetica S.A,0.92,NA,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,7,Novartis Farmacéutica,Novartis,industry,Novartis Farmaceutica S.A,0.92,NA,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,7,Novartis Farmacéutica,Novartis,industry,"Novartis Farmacutica, S.A",0.92,NA,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,7,Novartis Farmacéutica,Novartis,industry,"NOVARTIS FARMACEUTICA, S.A",0.92,NA,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,7,Novartis Farmacéutica,Novartis,industry,Novartis Farmacetica S.A.,0.92,NA,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,8,Novartis Pharmaceuticals UK,Novartis,industry,Novartis Pharmaceuticals UK Ltd,0.92,NA,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,8,Novartis Pharmaceuticals UK,Novartis,industry,Novartis Pharmaceuticals UK Limited,0.92,NA,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,9,Novartis Pharma S.A.S.,Novartis,industry,Novartis Pharma S.A.S,0.9,NA,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,9,Novartis Pharma S.A.S.,Novartis,industry,Novartis Pharma S.A.S.,0.9,NA,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,9,Novartis Pharma S.A.S.,Novartis,industry,NOVARTIS PHARMA SAS,0.9,NA,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,10,Novartis Consumer Health,Novartis,industry,Novartis Consumer Health S.A.,0.88,NA,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,10,Novartis Consumer Health,Novartis,industry,Novartis Consumer Health SA,0.88,NA,2026-08-12T11:48:48Z,NA
d74f8772f5b0578f3afef448cb0394fd60a3de329757f49446394ddac33a1364,blk_00001,claude-opus-5,sponsor-mint-v1,10,Novartis Consumer Health,Novartis,industry,Novartis Consumer Health,0.88,NA,2026-08-12T11:48:48Z,NA
